2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,2021 Expenses.Actual                 2019–20,518.0
,,Attorney General, COVID‑19 Time-Limited Funding7,,,Attorney General, COVID‑19 Time-Limited Funding7,2021 Expenses.Actual                 2019–20,0.0
,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",2021 Expenses.Actual                 2019–20,192.0
,,Attorney General (Base),,,,Attorney General (Base),,2021 Expenses.Actual                 2019–20,1734.0
,,COVID‑19 Health Response21,,,,COVID‑19 Health Response21,,2021 Expenses.Actual                 2019–20,0.0
,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,2021 Expenses.Actual                 2019–20,
,,Children and Youth Services (Total),,Children and Youth Services (Total),,,,2021 Expenses.Actual                 2019–20,
,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,2021 Expenses.Actual                 2019–20,0.0
,,Colleges and Universities, COVID‑19 Time-Limited Funding9,,,Colleges and Universities, COVID‑19 Time-Limited Funding9,2021 Expenses.Actual                 2019–20,0.0
,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,2021 Expenses.Actual                 2019–20,2.0
,,Colleges and Universities, Student Financial Assistance,,,Colleges and Universities, Student Financial Assistance,2021 Expenses.Actual                 2019–20,1296.0
,,Colleges and Universities (Base),,,,Colleges and Universities (Base),,2021 Expenses.Actual                 2019–20,9220.0
,,Colleges and Universities6 (Total),,,,Colleges and Universities6 (Total),,2021 Expenses.Actual                 2019–20,10519.0
,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,2021 Expenses.Actual                 2019–20,0.0
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2021 Expenses.Actual                 2019–20,579.0
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2021 Expenses.Actual                 2019–20,263.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2021 Expenses.Actual                 2019–20,315.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2021 Expenses.Actual                 2019–20,579.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2021 Expenses.Actual                 2019–20,315.0
,,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,2021 Expenses.Actual                 2019–20,263.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2021 Expenses.Actual                 2019–20,579.0
,,Education, COVID‑19 Time-Limited Funding12,,,Education, COVID‑19 Time-Limited Funding12,2021 Expenses.Actual                 2019–20,0.0
,,Education (Base),,Education (Base),,Education (Base),,2021 Expenses.Actual                 2019–20,30177.0
,,Emergency Forest Firefighting,,Emergency Forest Firefighting,,,,2021 Expenses.Actual                 2019–20,
,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,2021 Expenses.Actual                 2019–20,0.0
,,"Energy, Northern Development and Mines    (Base)13",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines    (Base)13",,2021 Expenses.Actual                 2019–20,1099.0
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2021 Expenses.Actual                 2019–20,
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2021 Expenses.Actual                 2019–20,
,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,,,"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,2021 Expenses.Actual                 2019–20,0.0
,,"Environment, Conservation and Parks", Time-Limited Investments,"Environment, Conservation and Parks",,"Environment, Conservation and Parks", Time-Limited Investments,2021 Expenses.Actual                 2019–20,2.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2021 Expenses.Actual                 2019–20,612.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2021 Expenses.Actual                 2019–20,614.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2021 Expenses.Actual                 2019–20,614.0
,,"Environment, Conservation and Parks (Base)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Base)",,2021 Expenses.Actual                 2019–20,612.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2021 Expenses.Actual                 2019–20,612.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2021 Expenses.Actual                 2019–20,612.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2021 Expenses.Actual                 2019–20,614.0
,,"Environment, Conservation and Parks (Total)",,"Environment, Conservation and Parks",,"Environment, Conservation and Parks (Total)",,2021 Expenses.Actual                 2019–20,614.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2021 Expenses.Actual                 2019–20,32.0
,,Executive Offices (Base),,Executive Offices (Base),,Executive Offices (Base),,2021 Expenses.Actual                 2019–20,32.0
,,Finance, COVID‑19 Response: Support for People and Jobs Fund,,,Finance, COVID‑19 Response: Support for People and Jobs Fund,2021 Expenses.Actual                 2019–20,0.0
,,Finance, Time-Limited Investments,,,Finance, Time-Limited Investments,2021 Expenses.Actual                 2019–20,
,,Finance, Investment Management Corporation of Ontario9,,,Finance, Investment Management Corporation of Ontario9,2021 Expenses.Actual                 2019–20,88.0
,,Finance, COVID‑19 Time-Limited Funding17,,,Finance, COVID‑19 Time-Limited Funding17,2021 Expenses.Actual                 2019–20,0.0
,,Finance (Base),,Finance (Base),,Finance (Base),,2021 Expenses.Actual                 2019–20,804.0
,,Francophone Affairs, COVID‑19 Time-Limited Funding18,,,Francophone Affairs, COVID‑19 Time-Limited Funding18,2021 Expenses.Actual                 2019–20,0.0
,,Francophone Affairs (Base),,,,Francophone Affairs (Base),,2021 Expenses.Actual                 2019–20,5.0
,,Francophone Affairs (Total),,Francophone Affairs (Total),,Francophone Affairs (Total),,2021 Expenses.Actual                 2019–20,5.0
,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,,,Government    and Consumer Services, COVID‑19 Time-Limited Funding19,2021 Expenses.Actual                 2019–20,0.0
,,Health (Total),,,,Health (Total),,2021 Expenses.Actual                 2019–20,
,,Health (Total)20,,,,Health (Total)20,,2021 Expenses.Actual                 2019–20,59286.0
,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,,,"Heritage,    Sport, Tourism and Culture Industries", COVID‑19 Time-Limited Funding22,2021 Expenses.Actual                 2019–20,0.0
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,2021 Expenses.Actual                 2019–20,656.0
,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,,,"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,2021 Expenses.Actual                 2019–20,80.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2021 Expenses.Actual                 2019–20,907.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2021 Expenses.Actual                 2019–20,1643.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2021 Expenses.Actual                 2019–20,1643.0
,,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,2021 Expenses.Actual                 2019–20,907.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2021 Expenses.Actual                 2019–20,1643.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2021 Expenses.Actual                 2019–20,1643.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Total)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2021 Expenses.Actual                 2019–20,907.0
,,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,"Heritage, Sport, Tourism and Culture Industries (Base)",,"Heritage, Sport, Tourism and Culture Industries11 (Total)",,2021 Expenses.Actual                 2019–20,907.0
,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,,,Indigenous Affairs, COVID‑19 Time-Limited Funding23,2021 Expenses.Actual                 2019–20,0.0
